Sr,Name,Docstatus,Customer,Type of Invoice,Grand Total,Status,Currency,Grand Total (Company Currency),Outstanding Amount,Payment Due Date,Integrator ID,Party Account Currency,POS Profile,Date,Price List Rate,Item Name,Item,Sales Invoice
1,MP-SINV-2024-101216,1,Cash - Shopify ID,Full Payment,1401409,Paid,IDR,1401409,0,2024-06-05,329146-NONPCA,IDR,Shopify ID - Kasir,2024-06-05,1299000,NEO TAKAHAGI TBP 40L ROCK - GREY,TUBBT000140GCTRING,085a87ac8b
2,MP-SINV-2024-101216,1,Cash - Shopify ID,Full Payment,1401409,Paid,IDR,1401409,0,2024-06-05,329146-NONPCA,IDR,Shopify ID - Kasir,2024-06-05,108000,Dafi Shoepack - Yellow,TUBOH319300YMPOLNG,6c02ad7b29
3,MP-SINV-2024-101216,1,Cash - Shopify ID,Full Payment,1401409,Paid,IDR,1401409,0,2024-06-05,329146-NONPCA,IDR,Shopify ID - Kasir,2024-06-05,48000,Dafi Multipouch Medium - Black,TUBPU351773BAPOLNG,f34a8ba25c
4,MP-SINV-2024-99404,2,Cash - Shopify ID,Full Payment,1401409,Cancelled,IDR,1401409,0,2024-06-05,329146-NONPCA,IDR,Shopify ID - Kasir,2024-06-05,48000,Dafi Multipouch Medium - Black,TUBPU351773BAPOLNG,660c2e72c2
5,MP-SINV-2024-99404,2,Cash - Shopify ID,Full Payment,1401409,Cancelled,IDR,1401409,0,2024-06-05,329146-NONPCA,IDR,Shopify ID - Kasir,2024-06-05,1299000,NEO TAKAHAGI TBP 40L - BLACK,TUBBT000140BATRING,a249dfbc31
6,MP-SINV-2024-99404,2,Cash - Shopify ID,Full Payment,1401409,Cancelled,IDR,1401409,0,2024-06-05,329146-NONPCA,IDR,Shopify ID - Kasir,2024-06-05,108000,Dafi Shoepack - Yellow,TUBOH319300YMPOLNG,bc761fdce6
7,MP-SINV-2024-100262,1,Cash - Shopify ID,Full Payment,9450000,Paid,IDR,9450000,0,2024-06-06,329377-NONPCA,IDR,Shopify ID - Kasir,2024-06-06,378000,CARTAGENA RIDING VEST - NAVY XL,TMBVD301175INPOLNG,21f414d0b4
8,MP-SINV-2024-100262,1,Cash - Shopify ID,Full Payment,9450000,Paid,IDR,9450000,0,2024-06-06,329377-NONPCA,IDR,Shopify ID - Kasir,2024-06-06,378000,CARTAGENA RIDING VEST - BLACK M,TMBVD301173BJPOLNG,5749126af3
9,MP-SINV-2024-100262,1,Cash - Shopify ID,Full Payment,9450000,Paid,IDR,9450000,0,2024-06-06,329377-NONPCA,IDR,Shopify ID - Kasir,2024-06-06,378000,CARTAGENA RIDING VEST - BLACK L,TMBVD301174BJPOLNG,9561ccaac3
10,MP-SINV-2024-100262,1,Cash - Shopify ID,Full Payment,9450000,Paid,IDR,9450000,0,2024-06-06,329377-NONPCA,IDR,Shopify ID - Kasir,2024-06-06,378000,CARTAGENA RIDING VEST - NAVY L,TMBVD301174INPOLNG,9a4c1a3260
11,MP-SINV-2024-100262,1,Cash - Shopify ID,Full Payment,9450000,Paid,IDR,9450000,0,2024-06-06,329377-NONPCA,IDR,Shopify ID - Kasir,2024-06-06,378000,CARTAGENA RIDING VEST - BLACK XL,TMBVD301175BJPOLNG,a939be249c
12,MP-SINV-2024-100262,1,Cash - Shopify ID,Full Payment,9450000,Paid,IDR,9450000,0,2024-06-06,329377-NONPCA,IDR,Shopify ID - Kasir,2024-06-06,378000,CARTAGENA RIDING VEST - BLACK M,TMBVD301173BJPOLNG,c4b666b41c
